"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Stanley Morgan Jr.","CIN","3.8","42.9","0.3","0.0","0.0","0.0","0.0","8.1"
"Easop Winston Jr.","SEA","3.6","47.8","0.2","0.0","2.1","0.0","0.0","8.1"
"Dennis Houston","DAL","3.5","42.3","0.3","0.0","0.0","0.0","0.0","8.0"
"Matthew Slater","NE","2.3","54.2","0.2","0.0","1.1","0.0","0.0","7.9"
"Seth Williams","JAC","3.7","47.0","0.2","0.0","0.0","0.0","0.0","7.9"
"Jacob Harris","JAC","3.7","46.2","0.2","0.0","0.0","0.0","0.0","7.8"
"KeeSean Johnson","BUF","3.6","41.0","0.3","0.0","0.0","0.0","0.0","7.8"
"Joe Reed","CHI","2.1","45.4","0.2","0.0","7.7","0.0","0.0","7.6"
"Andy Isabella","BUF","2.5","40.9","0.2","0.0","5.6","0.0","0.0","7.5"
"Brandon Johnson","DEN","3.4","42.3","0.2","0.0","0.8","0.0","0.0","7.3"
"Erik Ezukanma","MIA","3.6","42.2","0.2","0.0","0.0","0.0","0.0","7.1"
"Jaelon Darden","CLE","2.4","45.2","0.2","0.0","2.9","0.0","0.0","7.0"
"Jalen Nailor","MIN","2.8","44.3","0.2","0.3","1.0","0.0","0.1","6.8"
"C.J. Saunders","CAR","3.4","40.1","0.2","0.0","0.0","0.0","0.0","6.8"
"Cam Sims","LV","3.4","44.8","0.1","0.1","0.3","0.0","0.0","6.7"
"Dez Fitzpatrick","PIT","3.3","39.9","0.2","0.0","0.0","0.0","0.0","6.7"
"Keke Coutee","NO","3.4","39.0","0.2","0.0","0.0","0.0","0.0","6.6"
"Cody White","PIT","3.3","39.5","0.2","0.0","0.0","0.0","0.0","6.6"
"Anthony Schwartz","CLE","3.0","36.3","0.1","0.8","7.4","0.1","0.2","6.6"
"Keelan Cole Sr.","LV","3.3","38.9","0.2","0.0","0.0","0.0","0.0","6.6"
"James Proche II","BAL","2.1","43.7","0.2","0.0","1.2","0.0","0.0","6.5"
"Mason Kinsey","TEN","3.1","38.5","0.2","0.0","0.0","0.0","0.0","6.4"
"Michael Woods II","CLE","3.1","38.2","0.2","0.0","0.0","0.0","0.0","6.4"
"Danny Gray","SF","1.5","50.8","0.1","0.3","2.1","0.0","0.1","6.4"
"Racey McMath","TEN","3.0","37.8","0.2","0.0","0.0","0.0","0.0","6.3"
"Trent Taylor","CIN","2.3","32.2","0.2","0.0","5.8","0.0","0.0","6.2"
"Chris Conley","SF","3.0","35.8","0.2","0.0","0.0","0.0","0.0","6.2"
"Tylan Wallace","BAL","3.0","39.8","0.1","0.2","1.0","0.0","0.0","6.1"
"Malik Turner","IND","2.9","35.5","0.2","0.0","0.0","0.0","0.0","6.0"
"Tim Jones","JAC","2.5","36.3","0.2","0.0","0.7","0.0","0.0","5.8"
"Vyncint Smith","IND","2.8","34.0","0.2","0.0","0.0","0.0","0.0","5.8"
"Josh Ali","ATL","2.8","32.7","0.2","0.0","0.0","0.0","0.0","5.7"
"Dareke Young","SEA","2.9","31.6","0.2","0.0","0.3","0.0","0.0","5.6"
"Austin Trammell","LAR","2.2","33.9","0.1","0.0","0.4","0.0","0.0","5.4"
"Frank Darby","ATL","1.8","35.0","0.2","0.0","0.6","0.0","0.0","5.4"
"Jalen Camp","HOU","2.0","30.8","0.1","0.0","3.3","0.0","0.0","5.3"
"Daurice Fountain","CHI","2.4","28.7","0.2","0.0","0.0","0.0","0.0","5.1"
"Nsimba Webster","CHI","2.4","28.5","0.2","0.0","0.0","0.0","0.0","5.1"
"Keith Kirkwood","NO","2.3","28.8","0.1","0.0","0.1","0.0","0.0","4.8"
"James Washington","NO","1.9","26.8","0.1","0.0","0.1","0.0","0.0","4.4"
"Alex Erickson","NYJ","2.1","25.1","0.1","0.0","0.2","0.0","0.0","4.4"
"Miles Boykin","PIT","1.6","28.9","0.1","0.0","0.3","0.0","0.0","4.3"
"Ty Scott","KC","2.0","22.2","0.2","0.0","0.9","0.0","0.0","4.3"
"Dax Milne","WAS","3.3","22.1","0.1","0.1","0.1","0.0","0.1","4.2"
"Kawaan Baker","NO","1.6","20.0","0.2","0.0","0.0","0.0","0.0","3.8"
"Breshad Perriman","IND","1.1","16.3","0.1","0.0","0.7","0.0","0.0","2.8"
"Jason Brownlee","NYJ","0.8","9.7","0.1","0.0","0.4","0.0","0.0","1.9"
"Taylor Grimes","DEN","0.3","4.8","0.0","0.0","0.3","0.0","0.0","0.8"
"Britain Covey","PHI","0.0","1.6","0.0","0.0","0.3","0.0","0.0","0.2"
"Robbie Chosen","MIA","0.0","291.2","0.2","0.8","5.6","0.0","0.2","0.0"
"A.T. Perry","NO","0.0","226.0","0.0","0.9","5.6","0.0","0.2","0.0"
"Tyler Scott","CHI","0.0","213.7","0.0","0.9","5.3","0.0","0.1","0.0"
"Parker Washington","JAC","0.0","141.2","0.0","0.6","3.6","0.0","0.1","0.0"
"David Sills V","NYG","0.0","22.4","0.0","0.2","1.0","0.0","0.0","0.0"
"Cedric Tillman","CLE","0.0","442.0","0.5","1.8","11.3","0.1","0.3","0.0"
"Andrei Iosivas","CIN","0.0","105.5","0.0","0.4","2.7","0.0","0.1","0.0"
"Justin Shorter","BUF","0.0","81.8","0.0","0.3","2.1","0.0","0.1","0.0"
"Tim Patrick","DEN","0.0","316.0","0.1","0.0","0.0","0.0","0.0","0.0"
"Bryce Ford-Wheaton","NYG","0.0","81.8","0.0","0.3","2.1","0.0","0.1","0.0"
"Xavier Hutchinson","HOU","0.0","297.8","0.1","1.2","7.4","0.1","0.2","0.0"
"Quintez Cephus","DET","0.0","42.0","0.0","0.0","0.0","0.0","0.0","0.0"
"N'Keal Harry","MIN","0.0","34.5","0.0","0.3","2.3","0.0","0.0","0.0"
"Kendric Pryor","JAC","0.0","23.2","0.0","0.1","0.6","0.0","0.0","0.0"
"Kayshon Boutte","NE","0.0","388.5","0.3","1.6","9.8","0.1","0.3","0.0"
"Demario Douglas","NE","0.0","93.7","0.0","0.4","2.4","0.0","0.1","0.0"
"Puka Nacua","LAR","0.0","377.9","0.3","1.5","9.5","0.1","0.2","0.0"
"Justyn Ross","KC","0.0","366.8","0.2","1.5","9.2","0.1","0.2","0.0"
"Demetric Felton Jr.","CLE","0.0","81.8","0.0","0.3","2.1","0.0","0.1","0.0"
""
""
